title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Vauxhall Astra 1.4i  16V  Breeze  5dr,500,,93477,Manual,Petrol,Hatchback,1.4,5.0,Richhill,2023-02-11 18:28:11.475173,usedcarsni.com/2005-Vauxhall-Astra-1-4i-16V-Breeze-5dr-294875820?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Toyota Hilux,600,,0,,,,0,0,Armagh and banbridge,2023-02-11 18:28:11.477174,usedcarsni.com/Toyota-Hilux-311659738?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
BMW 3 Series 318i  Edition  SE  4dr,1095,,54000,Manual,Petrol,Saloon,2.0,4.0,Kesh,2023-02-11 18:28:11.480675,usedcarsni.com/2008-BMW-3-Series-318i-Edition-SE-4dr-314883886?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Rover 75 1.8  T  Club  SE  4dr,1095,,76000,Manual,Petrol,Saloon,1.8,4.0,Ballymoney,2023-02-11 18:28:11.484174,usedcarsni.com/2004-Rover-75-1-8-T-Club-SE-4dr-314244500?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Toyota Hilux,1234,,0,,,,0,0,Armagh and banbridge,2023-02-11 18:28:11.486675,usedcarsni.com/2020-Toyota-Hilux-314326567?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Volkswagen Polo 1.9  E  SDI  64  3dr,1300,,170877,Manual,Diesel,Hatchback,1.9,3.0,Ballymoney,2023-02-11 18:28:11.489675,usedcarsni.com/2004-Volkswagen-Polo-1-9-E-SDI-64-3dr-314689137?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Citroen C4 Picasso 1.8i  16V  VTR  Plus  5dr  [5  Seat],1375,,143000,Manual,Petrol,MPV,1.8,5.0,Newtownabbey,2023-02-11 18:28:11.493676,usedcarsni.com/2007-Citroen-C4-Picasso-1-8i-16V-VTR-Plus-5dr-5-Seat-314891175?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Renault Clio 1.2  Authentique  5dr,1375,,100000,Manual,Petrol,Hatchback,1.1,0,Lisnaskea,2023-02-11 18:28:11.497674,usedcarsni.com/2003-Renault-Clio-1-2-Authentique-5dr-313569053?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Jeep Grand Cherokee 3.0  CRD  5dr  Auto,1400,,158373,Automatic/Other,Diesel,Sport utility vehicle,3.0,5.0,Belfast,2023-02-11 18:28:11.501674,usedcarsni.com/2005-Jeep-Grand-Cherokee-3-0-CRD-5dr-Auto-314822877?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Citroen C4 Picasso 1.6HDi  16V  VTR  Plus  5dr  EGS  [5  Seat],1475,,167000,Automatic/Other,Diesel,MPV,1.6,5.0,County tyrone,2023-02-11 18:28:11.507174,usedcarsni.com/2010-Citroen-C4-Picasso-1-6HDi-16V-VTR-Plus-5dr-EGS-5-Seat-314961332?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
